sample_idx,file,rel_l2
0,1095_10-0.npz,0.54855152
1,1095_10-1.npz,0.61790209
2,1095_10-2.npz,0.63917202
3,1095_10-3.npz,0.57899072
4,1095_10-4.npz,0.60540427
5,1095_11-0.npz,0.60984628
6,1095_11-1.npz,0.58863816
7,1095_11-2.npz,0.54612351
8,1095_11-3.npz,0.68303089
9,1095_11-4.npz,0.57589101
10,1095_13-0.npz,0.55757279
11,1095_13-1.npz,0.66093690
12,1095_13-2.npz,0.57688104
13,1095_13-3.npz,0.56379711
14,1095_13-4.npz,0.64640076
15,1095_14-0.npz,0.59938699
16,1095_14-1.npz,0.55217907
17,1095_14-2.npz,0.47074684
18,1095_14-3.npz,0.52446507
19,1095_14-4.npz,0.56242153
20,1095_16-0.npz,0.49762099
21,1095_16-1.npz,0.49659131
22,1095_16-2.npz,0.53727782
23,1095_16-3.npz,0.52068832
24,1095_16-4.npz,0.50258354
25,1095_17-0.npz,0.48906653
26,1095_17-1.npz,0.57740562
27,1095_17-2.npz,0.45804249
28,1095_17-3.npz,0.53758871
29,1095_17-4.npz,0.56335934
30,1095_18-0.npz,0.46364371
31,1095_18-1.npz,0.51955228
32,1095_18-2.npz,0.48300743
33,1095_18-3.npz,0.50098980
34,1095_18-4.npz,0.43768577
35,3001_10-0.npz,0.45766714
36,3001_10-1.npz,0.50692742
37,3001_10-2.npz,0.45349657
38,3001_10-3.npz,0.42091439
39,3001_10-4.npz,0.51592116
40,3001_11-0.npz,0.44031846
41,3001_11-1.npz,0.44374614
42,3001_11-2.npz,0.50265365
43,3001_11-3.npz,0.47722168
44,3001_11-4.npz,0.44877976
45,3001_12-0.npz,0.47126501
46,3001_12-1.npz,0.50260619
47,3001_12-2.npz,0.43241355
48,3001_12-3.npz,0.52717775
49,3001_12-4.npz,0.61002376
50,3001_13-0.npz,0.58146376
51,3001_13-1.npz,0.55419706
52,3001_13-2.npz,0.61220698
53,3001_13-3.npz,0.56382879
54,3001_13-4.npz,0.57207434
55,3001_14-0.npz,0.58960807
56,3001_14-1.npz,0.60660955
57,3001_14-2.npz,0.55197182
58,3001_14-3.npz,0.55488603
59,3001_14-4.npz,0.62760708
60,3002_10-0.npz,0.55745997
61,3002_10-1.npz,0.55087071
62,3002_10-2.npz,0.60201191
63,3002_10-3.npz,0.58832524
64,3002_10-4.npz,0.57723578
65,3002_11-0.npz,0.55517812
66,3002_11-1.npz,0.55492459
67,3002_11-2.npz,0.62438898
68,3002_11-3.npz,0.52599286
69,3002_11-4.npz,0.55490305
70,3002_12-0.npz,0.62750720
71,3002_12-1.npz,0.51849101
72,3002_12-2.npz,0.58567678
73,3002_12-3.npz,0.60579115
74,3002_12-4.npz,0.54310541
75,3002_13-0.npz,0.57606113
76,3002_13-1.npz,0.60547931
77,3002_13-2.npz,0.56096014
78,3002_13-3.npz,0.56145290
79,3002_13-4.npz,0.58381748
80,3002_17-0.npz,0.61658302
81,3002_17-1.npz,0.52029704
82,3002_17-2.npz,0.54480755
83,3002_17-3.npz,0.56096767
