sample_idx,file,rel_l2
0,1095_10-0.npz,0.12999273
1,1095_10-1.npz,0.12506219
2,1095_10-2.npz,0.14894108
3,1095_10-3.npz,0.13096697
4,1095_10-4.npz,0.13128732
5,1095_11-0.npz,0.11295592
6,1095_11-1.npz,0.12357643
7,1095_11-2.npz,0.11943385
8,1095_11-3.npz,0.11819261
9,1095_11-4.npz,0.11954263
10,1095_13-0.npz,0.05263266
11,1095_13-1.npz,0.05372737
12,1095_13-2.npz,0.05640282
13,1095_13-3.npz,0.05240958
14,1095_13-4.npz,0.05234504
15,1095_14-0.npz,0.10770123
16,1095_14-1.npz,0.10521013
17,1095_14-2.npz,0.12065717
18,1095_14-3.npz,0.09571335
19,1095_14-4.npz,0.10372357
20,1095_16-0.npz,0.11057644
21,1095_16-1.npz,0.10074413
22,1095_16-2.npz,0.09931582
23,1095_16-3.npz,0.09893461
24,1095_16-4.npz,0.09416634
25,1095_17-0.npz,0.09671129
26,1095_17-1.npz,0.10390326
27,1095_17-2.npz,0.10847887
28,1095_17-3.npz,0.10772321
29,1095_17-4.npz,0.10315712
30,1095_18-0.npz,0.12258808
31,1095_18-1.npz,0.12416771
